ASV_ID	Bomok1	Bomok2	Bomok3	Bomok4	Gangjeong1	Gangjeong2	Gangjeong3	Gangjeong4
ASV244	0	0	0	0	51	6	0	0
ASV245	0	0	0	0	0	57	0	0
ASV246	56	0	0	0	0	0	0	0
ASV247	49	7	0	0	0	0	0	0
ASV248	42	0	0	14	0	0	0	0
ASV249	5	2	0	0	0	5	22	22
ASV250	0	30	0	0	0	6	10	10
ASV251	0	0	0	56	0	0	0	0
ASV252	55	0	0	0	0	0	0	0
ASV253	0	18	0	15	0	0	11	11
ASV254	0	0	46	0	9	0	0	0
ASV255	46	0	0	0	0	8	0	0
ASV256	0	0	0	0	54	0	0	0
ASV257	0	0	0	0	0	54	0	0
ASV258	0	0	0	0	0	0	27	27
ASV259	33	0	20	0	0	0	0	0
ASV260	0	39	0	0	0	0	7	7
ASV261	0	19	0	0	0	0	17	17
ASV262	0	0	53	0	0	0	0	0
ASV263	0	0	0	27	26	0	0	0
ASV264	0	0	0	0	53	0	0	0
ASV265	0	0	0	52	0	0	0	0
ASV266	0	0	0	0	0	0	26	26
ASV267	0	0	0	33	0	0	9	9
ASV268	0	0	0	22	29	0	0	0
ASV269	0	0	50	0	0	0	0	0
ASV270	0	0	47	0	0	3	0	0
ASV271	0	0	0	0	50	0	0	0
ASV272	26	0	0	0	0	19	2	2
ASV273	15	2	0	0	0	0	16	16
ASV274	0	25	6	0	0	0	9	9
ASV275	0	0	19	0	0	0	15	15
ASV276	0	0	0	0	49	0	0	0
ASV277	0	48	0	0	0	0	0	0
ASV278	0	0	48	0	0	0	0	0
ASV279	0	0	0	0	48	0	0	0
ASV280	0	0	0	0	0	48	0	0
ASV281	0	0	0	0	0	14	17	17
ASV282	0	0	0	0	0	0	24	24
ASV283	0	23	0	4	0	20	0	0
ASV284	0	22	0	0	0	25	0	0
ASV285	0	15	0	0	0	0	16	16
ASV286	0	0	33	0	0	0	7	7
ASV287	0	0	0	31	0	16	0	0
ASV288	0	0	0	15	0	0	16	16
ASV289	13	33	0	0	0	0	0	0
ASV290	0	0	0	46	0	0	0	0
ASV291	0	9	0	0	26	0	5	5
ASV292	0	0	0	0	45	0	0	0
ASV293	0	0	0	0	5	40	0	0
ASV294	0	0	0	0	0	45	0	0
ASV295	0	44	0	0	0	0	0	0
ASV296	0	20	0	0	0	0	12	12
ASV297	0	0	0	44	0	0	0	0
ASV298	0	0	0	0	30	0	7	7
ASV299	0	0	0	0	0	0	22	22
ASV300	35	0	0	0	8	0	0	0
ASV301	18	2	0	0	7	6	5	5
ASV302	0	39	0	0	0	4	0	0
ASV303	0	35	0	0	0	8	0	0
ASV304	0	0	43	0	0	0	0	0
ASV305	0	0	0	4	0	39	0	0
ASV306	0	0	0	0	5	0	19	19
ASV307	0	0	0	0	0	43	0	0
ASV308	42	0	0	0	0	0	0	0
ASV309	39	0	0	0	0	3	0	0
ASV310	15	0	0	0	27	0	0	0
ASV311	0	0	19	23	0	0	0	0
ASV312	0	0	0	0	0	42	0	0
ASV313	0	0	0	0	0	6	18	18
ASV314	0	0	0	0	0	0	21	21
ASV315	0	0	3	24	0	0	7	7
ASV316	0	0	0	27	14	0	0	0
ASV317	0	0	0	0	0	41	0	0
ASV318	20	0	0	0	0	0	10	10
ASV319	6	16	0	0	0	0	9	9
ASV320	0	16	0	0	0	0	12	12
ASV321	0	6	0	0	0	0	17	17
ASV322	0	0	40	0	0	0	0	0
ASV323	0	0	3	0	21	16	0	0
ASV324	0	0	0	40	0	0	0	0
ASV325	0	0	0	0	33	7	0	0
ASV326	0	0	0	0	26	0	7	7
ASV327	0	0	0	0	14	0	13	13
ASV328	0	0	0	0	0	40	0	0
ASV329	0	0	0	0	0	40	0	0
ASV330	0	0	0	0	0	40	0	0
ASV331	0	0	0	0	0	0	20	20
ASV332	39	0	0	0	0	0	0	0
ASV333	28	0	0	0	11	0	0	0
ASV334	0	39	0	0	0	0	0	0
ASV335	0	10	0	0	0	29	0	0
ASV336	0	0	39	0	0	0	0	0
ASV337	0	0	0	39	0	0	0	0
ASV338	0	0	0	39	0	0	0	0
ASV339	0	18	0	0	0	0	10	10
ASV340	0	0	0	0	38	0	0	0
ASV341	0	0	0	0	0	38	0	0
ASV342	0	0	0	0	0	0	19	19
ASV343	0	0	0	0	0	0	19	19
ASV344	0	0	0	0	0	0	19	19
ASV345	0	0	0	0	0	0	19	19
ASV346	0	37	0	0	0	0	0	0
ASV347	0	0	37	0	0	0	0	0
ASV348	0	0	37	0	0	0	0	0
ASV349	0	0	21	0	0	0	8	8
ASV350	0	0	0	35	2	0	0	0
ASV351	0	0	0	27	10	0	0	0
ASV352	13	0	0	23	0	0	0	0
ASV353	0	0	36	0	0	0	0	0
ASV354	0	0	0	36	0	0	0	0
